City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
192,Analipsis,35.3167,25.5667,60.01,94,75,2.37,GR,2021-03-14 22:45:08,broken clouds
193,Japura,-0.3167,102.35,72.86,96,55,1.48,ID,2021-03-14 22:45:08,broken clouds
194,Dimona,31.0667,35.0333,53.01,100,69,1.99,IL,2021-03-14 22:45:09,broken clouds
195,Muli,2.9167,73.5667,82.87,71,60,9.62,MV,2021-03-14 22:45:09,heavy intensity rain
196,Tuatapere,-46.1333,167.6833,59.2,94,100,10.4,NZ,2021-03-14 22:36:06,moderate rain
197,Altamira,-3.2033,-52.2064,74.75,96,80,2.13,BR,2021-03-14 22:45:09,broken clouds
198,Svetlaya,46.5389,138.3297,37.31,71,0,2.24,RU,2021-03-14 22:45:10,clear sky
199,Chota,-6.55,-78.65,55.92,95,100,2.84,PE,2021-03-14 22:45:10,moderate rain
200,Mbini,1.574,9.6134,79.66,82,100,5.14,GQ,2021-03-14 22:45:11,light rain
201,Hirara,24.8,125.2833,64.4,77,40,5.75,JP,2021-03-14 22:45:11,scattered clouds
202,Kahului,20.8947,-156.47,75.99,64,20,13.8,US,2021-03-14 22:35:57,few clouds
203,San Quintin,30.4833,-115.95,58.44,67,2,18.95,MX,2021-03-14 22:37:50,clear sky
204,Mezen,65.8522,44.24,27.28,95,97,6.11,RU,2021-03-14 22:45:12,overcast clouds
205,Airai,-8.9266,125.4092,63.14,84,100,1.34,TL,2021-03-14 22:36:16,overcast clouds
206,Valparaiso,-33.0393,-71.6273,62.6,82,75,3.44,CL,2021-03-14 22:45:13,broken clouds
207,Norman Wells,65.282,-126.8329,-4.0,77,90,12.66,CA,2021-03-14 22:36:20,light snow
208,Cotonou,6.3654,2.4183,78.8,89,20,2.3,BJ,2021-03-14 22:45:14,few clouds
209,Husavik,66.0449,-17.3389,21.2,86,0,3.44,IS,2021-03-14 22:37:57,clear sky
210,La Joya,18.6667,-99.4667,98.01,21,20,5.23,MX,2021-03-14 22:45:14,few clouds
211,Pierre,44.3683,-100.351,36.0,93,90,10.36,US,2021-03-14 22:45:15,heavy snow
212,Nome,64.5011,-165.4064,21.2,86,90,13.8,US,2021-03-14 22:37:41,snow
213,Ambon,-3.6954,128.1814,77.0,94,40,5.75,ID,2021-03-14 22:44:24,scattered clouds
214,Euclides Da Cunha,-10.5075,-39.0158,76.03,57,46,13.15,BR,2021-03-14 22:45:15,scattered clouds
215,Mahon,39.8885,4.2658,53.6,62,0,12.66,ES,2021-03-14 22:45:16,clear sky
216,Itarema,-2.9248,-39.9167,78.37,81,18,9.28,BR,2021-03-14 22:40:21,few clouds
217,Cabedelo,-6.9811,-34.8339,78.8,83,20,9.22,BR,2021-03-14 22:45:16,few clouds
218,Odweyne,9.4092,45.064,70.74,39,0,8.12,SO,2021-03-14 22:45:17,clear sky
219,Ziarat,30.3823,67.7282,45.0,38,99,1.63,PK,2021-03-14 22:41:27,overcast clouds
220,Huai Yot,7.7893,99.6348,70.72,94,77,3.42,TH,2021-03-14 22:45:18,broken clouds
221,Kyra,49.5776,111.9753,5.94,63,46,14.12,RU,2021-03-14 22:40:25,scattered clouds
222,Iqaluit,63.7506,-68.5145,-16.01,63,40,20.71,CA,2021-03-14 22:37:43,snow
223,Brewster,41.3973,-73.6171,33.01,53,69,3.0,US,2021-03-14 22:45:18,broken clouds
224,Oranjestad,12.524,-70.027,78.35,82,91,19.77,AW,2021-03-14 22:40:37,overcast clouds
225,Springdale,36.1867,-94.1288,54.0,100,90,10.36,US,2021-03-14 22:45:19,moderate rain
226,Esperance,-33.8667,121.9,51.8,82,36,8.05,AU,2021-03-14 22:36:54,scattered clouds
227,Yelovo,57.0538,54.9207,14.59,91,97,14.2,RU,2021-03-14 22:45:20,snow
